处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,drop_duplicates,5630,5630,0
填补Tenure缺失值,总体中位数=9.0,5630,5630,264
填补WarehouseToHome缺失值,总体中位数=14.0,5630,5630,251
填补HourSpendOnApp缺失值,总体中位数=3.0,5630,5630,255
填补OrderAmountHikeFromlastYear缺失值,总体中位数=15.0,5630,5630,265
填补CouponUsed缺失值,总体中位数=1.0,5630,5630,256
填补OrderCount缺失值,总体中位数=2.0,5630,5630,258
填补DaySinceLastOrder缺失值,总体中位数=3.0,5630,5630,307
标准化PreferredLoginDevice,Phone → Mobile Phone,5630,5630,1231
标准化PreferredPaymentMode,COD → Cash on Delivery,5630,5630,365
标准化PreferredPaymentMode,CC → Credit Card,5630,5630,273
标准化PreferedOrderCat,Mobile → Mobile Phone,5630,5630,809
转换Churn类型,转换为int,5630,5630,5630
转换Complain类型,转换为int,5630,5630,5630
